userid,fcnname,actionid,actiontype,time,input,output,quizq,actualoutput,result,finalguess
mcui5,Median,0,eval_input,2020-02-20 17:35:24,1 2 3,2,,,,
mcui5,Median,1,eval_input,2020-02-20 17:35:28,1 2 3 4 5,3,,,,
mcui5,Median,2,eval_input,2020-02-20 17:35:31,1 2 3 4 5 6 7 8,4.5,,,,
mcui5,Median,3,eval_input,2020-02-20 17:35:34,1 2 3 4 5 6 7 8 9,5,,,,
mcui5,Median,4,eval_input,2020-02-20 17:35:51,1 16 17,16,,,,
mcui5,Median,5,quiz_answer,2020-02-20 17:36:02,1 8 24,8,0,8,true,
mcui5,Median,6,quiz_answer,2020-02-20 17:36:06,8 1 24,8,1,8,true,
mcui5,Median,7,quiz_answer,2020-02-20 17:36:14,1 2 3 14,2,2,2.5,true,
mcui5,Median,8,final_answer,2020-02-20 17:36:16,,,,,,Finds median
mcui5,FirstIntoSecondDivisible,9,eval_input,2020-02-20 17:36:33,1 1,true,,,,
mcui5,FirstIntoSecondDivisible,10,eval_input,2020-02-20 17:36:35,1 2,true,,,,
mcui5,FirstIntoSecondDivisible,11,eval_input,2020-02-20 17:36:37,1 3,true,,,,
mcui5,FirstIntoSecondDivisible,12,eval_input,2020-02-20 17:36:38,1 4,true,,,,
mcui5,FirstIntoSecondDivisible,13,eval_input,2020-02-20 17:36:39,1 5,true,,,,
mcui5,FirstIntoSecondDivisible,14,eval_input,2020-02-20 17:36:40,1 6,true,,,,
mcui5,FirstIntoSecondDivisible,15,eval_input,2020-02-20 17:36:43,4 6,false,,,,
mcui5,FirstIntoSecondDivisible,16,eval_input,2020-02-20 17:36:46,4 8,true,,,,
mcui5,FirstIntoSecondDivisible,17,eval_input,2020-02-20 17:36:48,3 8,false,,,,
mcui5,FirstIntoSecondDivisible,18,quiz_answer,2020-02-20 17:37:12,"2,8",true,0,true,true,
mcui5,FirstIntoSecondDivisible,19,quiz_answer,2020-02-20 17:37:16,"8,2",false,1,false,true,
mcui5,FirstIntoSecondDivisible,20,quiz_answer,2020-02-20 17:37:19,"2,0",false,2,true,false,
mcui5,FirstIntoSecondDivisible,21,cheat_attempt,2020-02-20 17:37:29,2 0,true,,,,
mcui5,FirstIntoSecondDivisible,22,eval_input,2020-02-20 17:37:31,2 3,false,,,,
mcui5,FirstIntoSecondDivisible,23,eval_input,2020-02-20 17:37:36,3 0,true,,,,
mcui5,FirstIntoSecondDivisible,24,quiz_answer,2020-02-20 17:37:57,"2,8",true,0,true,true,
mcui5,FirstIntoSecondDivisible,25,quiz_answer,2020-02-20 17:38:00,"8,2",false,1,false,true,
mcui5,FirstIntoSecondDivisible,26,quiz_answer,2020-02-20 17:38:04,"2,0",true,2,true,true,
mcui5,FirstIntoSecondDivisible,27,final_answer,2020-02-20 17:38:06,,,,,,"Divisibility, of first number. Is 2 / 1 true?"
mcui5,SumBetween,28,eval_input,2020-02-20 17:38:13,1 2,3,,,,
mcui5,SumBetween,29,eval_input,2020-02-20 17:38:14,1 3,6,,,,
jlee283,Average,0,eval_input,2020-02-20 17:38:15,0,0,,,,
jlee283,Average,1,eval_input,2020-02-20 17:38:18,1,1,,,,
mcui5,SumBetween,30,eval_input,2020-02-20 17:38:19,1 4,10,,,,
jlee283,Average,2,eval_input,2020-02-20 17:38:20,2,2,,,,
mcui5,SumBetween,31,eval_input,2020-02-20 17:38:20,1 5,15,,,,
jlee283,Average,3,eval_input,2020-02-20 17:38:22,3,3,,,,
jlee283,Average,4,eval_input,2020-02-20 17:38:23,4,4,,,,
jlee283,Average,5,eval_input,2020-02-20 17:38:27,5,5,,,,
jlee283,Average,6,eval_input,2020-02-20 17:38:30,100,100,,,,
mcui5,SumBetween,32,eval_input,2020-02-20 17:38:32,2 5,14,,,,
mcui5,SumBetween,33,eval_input,2020-02-20 17:38:33,3 5,12,,,,
jlee283,Average,7,eval_input,2020-02-20 17:38:34,0 0,0,,,,
mcui5,SumBetween,34,eval_input,2020-02-20 17:38:35,4 5,9,,,,
jlee283,Average,8,eval_input,2020-02-20 17:38:36,0 1,0.5,,,,
jlee283,Average,9,eval_input,2020-02-20 17:38:38,0 2,1,,,,
mcui5,SumBetween,35,eval_input,2020-02-20 17:38:38,5 5,5,,,,
jlee283,Average,10,eval_input,2020-02-20 17:38:41,0 3,1.5,,,,
jlee283,Average,11,eval_input,2020-02-20 17:38:42,0 4,2,,,,
jlee283,Average,12,eval_input,2020-02-20 17:38:44,0 5,2.5,,,,
jlee283,Average,13,eval_input,2020-02-20 17:38:47,1 1,1,,,,
jlee283,Average,14,eval_input,2020-02-20 17:38:49,1 2,1.5,,,,
jlee283,Average,15,eval_input,2020-02-20 17:38:50,1 3,2,,,,
jlee283,Average,16,eval_input,2020-02-20 17:38:55,1 1 1,1,,,,
jlee283,Average,17,eval_input,2020-02-20 17:38:58,0 0 0,0,,,,
jlee283,Average,18,eval_input,2020-02-20 17:39:01,0 0 1,0.3333333333333333,,,,
mcui5,SumBetween,36,eval_input,2020-02-20 17:39:16,0 5,15,,,,
mcui5,SumBetween,37,eval_input,2020-02-20 17:39:18,1 5,15,,,,
mcui5,SumBetween,38,eval_input,2020-02-20 17:39:19,2 5,14,,,,
mcui5,SumBetween,39,eval_input,2020-02-20 17:39:25,0 4,10,,,,
mcui5,SumBetween,40,eval_input,2020-02-20 17:39:27,0 3,6,,,,
mcui5,SumBetween,41,eval_input,2020-02-20 17:39:28,0 2,3,,,,
mcui5,SumBetween,42,eval_input,2020-02-20 17:39:30,0 2,3,,,,
mcui5,SumBetween,43,eval_input,2020-02-20 17:39:31,0 1,1,,,,
mcui5,SumBetween,44,eval_input,2020-02-20 17:39:33,0 0,0,,,,
jlee283,Average,19,quiz_answer,2020-02-20 17:39:39,1 8 24,11,0,11,true,
mcui5,SumBetween,45,eval_input,2020-02-20 17:39:39,0 -8,0,,,,
mcui5,SumBetween,46,eval_input,2020-02-20 17:39:45,-8 -8,-8,,,,
jlee283,Average,20,quiz_answer,2020-02-20 17:39:48,8 1 24,11,1,11,true,
mcui5,SumBetween,47,eval_input,2020-02-20 17:39:51,1 -8,0,,,,
mcui5,SumBetween,48,eval_input,2020-02-20 17:39:53,2 -8,0,,,,
mcui5,SumBetween,49,eval_input,2020-02-20 17:39:54,3 -8,0,,,,
mcui5,SumBetween,50,eval_input,2020-02-20 17:39:56,34 -8,0,,,,
