userid,fcnname,actionid,actiontype,time,input,output,quizq,actualoutput,result,finalguess
aboden,SecondIntoFirstDivisible,141,final_answer,2020-02-20 20:30:27,,,,,,
aboden,SecondIntoFirstDivisible,140,quiz_answer,2020-02-20 20:30:26,"0,2",true,,,,
aboden,SecondIntoFirstDivisible,139,quiz_answer,2020-02-20 20:30:16,"2,8",false,,,,
aboden,SecondIntoFirstDivisible,138,quiz_answer,2020-02-20 20:30:12,"8,2",true,,,,
aboden,SecondIntoFirstDivisible,137,eval_input,2020-02-20 20:29:40,0 15,true,,,,
aboden,SecondIntoFirstDivisible,136,eval_input,2020-02-20 20:29:36,0 12,true,,,,average of numbers in list
aboden,SecondIntoFirstDivisible,135,eval_input,2020-02-20 20:28:56,0 0,true,2,5,true,
aboden,SecondIntoFirstDivisible,134,eval_input,2020-02-20 20:28:54,12 0,false,1,11,true,
aboden,SecondIntoFirstDivisible,133,eval_input,2020-02-20 20:28:52,123425 0,false,0,11,true,
aboden,SecondIntoFirstDivisible,132,eval_input,2020-02-20 20:28:49,1 0,false,,,,
aboden,SecondIntoFirstDivisible,131,eval_input,2020-02-20 20:28:46,-1 0,false,,,,
aboden,SecondIntoFirstDivisible,130,eval_input,2020-02-20 20:28:35,0 10000,true,,,,
aboden,SecondIntoFirstDivisible,129,eval_input,2020-02-20 20:28:28,0 1,true,,,,
aboden,SecondIntoFirstDivisible,128,eval_input,2020-02-20 20:28:23,1552342 1,true,,,,
aboden,SecondIntoFirstDivisible,127,eval_input,2020-02-20 20:28:22,155 1,true,,,,
aboden,SecondIntoFirstDivisible,126,eval_input,2020-02-20 20:28:20,15 1,true,,,,Returns whether the second number is a divisor of the first number. 
aboden,SecondIntoFirstDivisible,125,eval_input,2020-02-20 20:28:15,15 3,true,2,true,true,
aboden,SecondIntoFirstDivisible,124,eval_input,2020-02-20 20:28:13,6 3,true,1,false,true,
aboden,SecondIntoFirstDivisible,123,eval_input,2020-02-20 20:28:08,15 5,true,0,true,true,
aboden,SecondIntoFirstDivisible,122,eval_input,2020-02-20 20:27:58,10 5,true,,,,
aboden,SecondIntoFirstDivisible,121,eval_input,2020-02-20 20:27:56,5 5,true,,,,
aboden,SecondIntoFirstDivisible,120,eval_input,2020-02-20 20:27:54,3 5,false,,,,
aboden,SecondIntoFirstDivisible,119,eval_input,2020-02-20 20:27:51,3 6,false,,,,
aboden,SecondIntoFirstDivisible,118,eval_input,2020-02-20 20:27:49,3 4,false,,,,
aboden,SecondIntoFirstDivisible,117,eval_input,2020-02-20 20:27:47,3 3,true,,,,
aboden,SecondIntoFirstDivisible,116,eval_input,2020-02-20 20:27:42,2 2,true,,,,
aboden,SecondIntoFirstDivisible,115,eval_input,2020-02-20 20:27:36,1 3,false,,,,
aboden,SecondIntoFirstDivisible,114,eval_input,2020-02-20 20:27:34,1 2,false,,,,
aboden,SecondIntoFirstDivisible,113,eval_input,2020-02-20 20:27:31,1 1,true,,,,
aboden,SumParityBool,112,final_answer,2020-02-20 20:27:19,,,,,,
aboden,SumParityBool,111,quiz_answer,2020-02-20 20:27:18,1 0 1,false,,,,
aboden,SumParityBool,110,quiz_answer,2020-02-20 20:27:15,-8 3,true,,,,
aboden,SumParityBool,109,quiz_answer,2020-02-20 20:27:12,333,true,,,,
aboden,SumParityBool,108,quiz_answer,2020-02-20 20:26:50,-8 3,false,,,,
aboden,SumParityBool,107,quiz_answer,2020-02-20 20:26:45,333,true,,,,
aboden,SumParityBool,106,eval_input,2020-02-20 20:26:25,8,false,,,,
aboden,SumParityBool,105,eval_input,2020-02-20 20:26:22,10,false,,,,
aboden,SumParityBool,104,eval_input,2020-02-20 20:26:20,11,true,,,,
aboden,SumParityBool,103,eval_input,2020-02-20 20:26:17,7,true,,,,
aboden,SumParityBool,102,eval_input,2020-02-20 20:26:14,-1 -2,true,,,,
aboden,SumParityBool,101,eval_input,2020-02-20 20:26:12,-1 2,true,,,,
aboden,SumParityBool,100,eval_input,2020-02-20 20:26:09,-1,true,,,,
aboden,SumParityBool,99,eval_input,2020-02-20 20:26:06,1 2,true,,,,
aboden,SumParityBool,98,eval_input,2020-02-20 20:26:02,1,true,,,,"Let x be the first integer.
Let y be the second integer.
If y is divisible by x, or in other words if y mod x = 0, the function returns true. Otherwise, the function returns false."
aboden,SumParityBool,97,eval_input,2020-02-20 20:25:58,2 2 1 2 2 1 1,true,2,true,true,
aboden,SumParityBool,96,eval_input,2020-02-20 20:25:46,2 2 1 2 2 2 2,true,,,,
aboden,SumParityBool,95,eval_input,2020-02-20 20:25:41,2 2 1 2 2 2,true,,,,
aboden,SumParityBool,94,eval_input,2020-02-20 20:25:39,2 2 1 2 2,true,,,,
aboden,SumParityBool,93,eval_input,2020-02-20 20:25:38,2 2 1 2,true,,,,
aboden,SumParityBool,92,eval_input,2020-02-20 20:25:33,2 2 1,true,,,,
aboden,SumParityBool,91,eval_input,2020-02-20 20:25:25,0 0 2,false,,,,
aboden,SumParityBool,90,eval_input,2020-02-20 20:25:19,2 0 0,false,,,,
aboden,SumParityBool,89,eval_input,2020-02-20 20:25:13,1 1 0,false,,,,
