SumParityInt,
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0.4375
2,0.166666666666667
3,0.233333333333333
3,0.111111111111111
4,0.208333333333333
4,0.75
4,0.75
4,0.75
4,0.354166666666667
7,0.466666666666667
7,0.486394557823129
7,0.268707482993197
7,0.695238095238095
7,0.5
7,0.857142857142857
7,0.80952380952381
8,0.677976190476191
8,0.450396825396825
8,0.422916666666667
9,0.538888888888889
9,0.498148148148148
10,0.361666666666667
10,0.9
10,0.8
10,0.7
11,0.856060606060606
11,0.572727272727273
11,0.376406926406927
12,0.391369047619048
12,0.244080687830688
13,0.282783882783883
13,0.593589743589744
13,0.82051282051282
14,0.928571428571429
14,0.557142857142857
14,0.480952380952381
15,0.827777777777778
15,0.697777777777778
15,0.324761904761905
15,0.249444444444444
15,0.85
16,0.410143849206349
17,0.862745098039216
17,0.058823529411765
17,0.696078431372549
17,0.316269841269841
18,0.41521164021164
19,0.666666666666667
19,0.745614035087719
19,0.337719298245614
20,0.509781746031746
21,0.512358276643991
21,0.397675736961451
21,0.175396825396825
21,0.608730158730159
25,0.476666666666667
27,0.719753086419753
28,0.107142857142857
28,0.338805143269429
29,0.471948549534757
29,0.455172413793104
30,0.743333333333333
30,0.569444444444444
31,0.736559139784946
36,0.59212962962963
40,0.594821428571428
42,0.635487528344671
44,0.523006854256854
65,0.544102564102564
74,0.640765765765766
115,0.703478260869565
Average,
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
2,0.5
2,0.125
2,0.4
2,0.5
2,0.166666666666667
2,0.125
2,0.125
3,0.333333333333333
3,0.666666666666667
3,0.341666666666667
4,0.5
4,0.5375
4,0.75
4,0.541666666666667
4,0.458333333333333
4,0.408333333333333
4,0.266666666666667
5,0.270952380952381
5,0.366666666666667
5,0.55
5,0.46
6,0.463888888888889
6,0.638888888888889
6,0.8
6,0.352777777777778
6,0.273412698412698
6,0.305555555555556
6,0.619444444444444
7,0.723809523809524
7,0.278571428571429
7,0.714285714285714
8,0.520833333333333
8,0.604166666666667
8,0.620833333333333
9,0.888888888888889
9,0.272222222222222
9,0.616402116402116
9,0.42962962962963
9,0.796296296296296
9,0.703703703703704
10,0.756666666666667
10,0.625
10,0.491666666666667
10,0.81
10,0.36047619047619
10,0.524761904761905
10,0.646666666666667
11,0.772727272727273
11,0.348484848484848
12,0.444444444444444
15,0.288888888888889
17,0.696078431372549
17,0.650980392156863
18,0.749074074074074
21,0.722222222222222
22,0.75
27,0.722222222222222
29,0.477011494252874
66,0.42027417027417
Induced,
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0.5
2,0.5
2,0.5
2,0
4,0
5,0.8
6,0.666666666666667
6,0.833333333333333
6,0.833333333333333
6,0.833333333333333
6,0.833333333333333
6,0.833333333333333
6,0.833333333333333
6,0.833333333333333
6,0.833333333333333
6,0.833333333333333
6,0.833333333333333
7,0.571428571428571
7,0.857142857142857
7,0.857142857142857
7,0.857142857142857
7,0.857142857142857
7,0.857142857142857
7,0.857142857142857
7,0.857142857142857
7,0.857142857142857
7,0.857142857142857
7,0.857142857142857
7,0.857142857142857
7,0.857142857142857
8,0.875
8,0.875
8,0.875
8,0.875
8,0.75
8,0.875
8,0.875
8,0.875
8,0.75
8,0.875
8,0.875
8,0.875
8,0.875
8,0.875
9,0.888888888888889
9,0.777777777777778
9,0.888888888888889
9,0.888888888888889
9,0.888888888888889
10,0.9
10,0.9
10,0.9
10,0.9
10,0.9
10,0.9
10,0.9
10,0.8
10,0.9
10,0.9
11,0.909090909090909
11,0.909090909090909
11,0.909090909090909
11,0.909090909090909
11,0.909090909090909
11,0.909090909090909
11,0.909090909090909
11,0.909090909090909
11,0.909090909090909
11,0.909090909090909
11,0.909090909090909
12,0.916666666666667
12,0.916666666666667
12,0.833333333333333
13,0.846153846153846
13,0.923076923076923
13,0.923076923076923
13,0.923076923076923
13,0.923076923076923
13,0.923076923076923
13,0.923076923076923
13,0.923076923076923
13,0.923076923076923
13,0.923076923076923
13,0.923076923076923
13,0.923076923076923
13,0.923076923076923
14,0.928571428571429
14,0.928571428571429
14,0.928571428571429
14,0.928571428571429
14,0.928571428571429
