userid,fcnname,actionid,actiontype,time,input,output,quizq,actualoutput,result,finalguess
egrimsh1,SumBetween,0,eval_input,2020-02-21 00:12:50,1 2,3,,,,
egrimsh1,SumBetween,1,eval_input,2020-02-21 00:12:53,3 5,12,,,,
egrimsh1,SumBetween,2,eval_input,2020-02-21 00:12:57,-1 3,5,,,,
egrimsh1,SumBetween,3,eval_input,2020-02-21 00:13:01,0 4,10,,,,
egrimsh1,SumBetween,4,eval_input,2020-02-21 00:13:10,-5 0,-15,,,,
egrimsh1,SumBetween,5,eval_input,2020-02-21 00:18:02,0 0,0,,,,
egrimsh1,SumBetween,6,eval_input,2020-02-21 00:18:26,0 0,0,,,,
egrimsh1,SumBetween,7,eval_input,2020-02-21 00:18:28,0 1,1,,,,
egrimsh1,SumBetween,8,eval_input,2020-02-21 00:18:31,0 2,3,,,,
egrimsh1,SumBetween,9,eval_input,2020-02-21 00:18:33,0 3,6,,,,
egrimsh1,SumBetween,10,eval_input,2020-02-21 00:19:23,1 3,6,,,,
egrimsh1,SumBetween,11,eval_input,2020-02-21 00:19:26,2 3,5,,,,
egrimsh1,SumBetween,12,eval_input,2020-02-21 00:19:28,3 3,3,,,,
egrimsh1,SumBetween,13,eval_input,2020-02-21 00:19:29,4 3,0,,,,
egrimsh1,SumBetween,14,eval_input,2020-02-21 00:19:32,5 3,0,,,,
egrimsh1,SumBetween,15,eval_input,2020-02-21 00:19:33,6 3,0,,,,
egrimsh1,SumBetween,16,eval_input,2020-02-21 00:19:35,7 3,0,,,,
egrimsh1,SumBetween,17,eval_input,2020-02-21 00:19:36,8 3,0,,,,
egrimsh1,SumBetween,18,eval_input,2020-02-21 00:19:41,8 9,17,,,,
egrimsh1,SumBetween,19,eval_input,2020-02-21 00:19:44,8 20,182,,,,
egrimsh1,SumBetween,20,eval_input,2020-02-21 00:20:01,8 20,182,,,,
egrimsh1,SumBetween,21,eval_input,2020-02-21 00:20:05,21 20,0,,,,
egrimsh1,SumBetween,22,eval_input,2020-02-21 00:20:19,20 20,20,,,,
egrimsh1,SumBetween,23,eval_input,2020-02-21 00:20:36,2900 2900,2900,,,,
egrimsh1,SumBetween,24,eval_input,2020-02-21 00:21:14,0 0,0,,,,
egrimsh1,SumBetween,25,eval_input,2020-02-21 00:21:16,0 1,1,,,,
egrimsh1,SumBetween,26,eval_input,2020-02-21 00:21:18,0 2,3,,,,
egrimsh1,SumBetween,27,eval_input,2020-02-21 00:21:19,0 3,6,,,,
egrimsh1,SumBetween,28,eval_input,2020-02-21 00:21:28,0 4,10,,,,
egrimsh1,SumBetween,29,eval_input,2020-02-21 00:22:41,1 4,10,,,,
egrimsh1,SumBetween,30,eval_input,2020-02-21 00:23:02,1 5,15,,,,
egrimsh1,SumBetween,31,eval_input,2020-02-21 00:23:09,2 4,9,,,,
egrimsh1,SumBetween,32,eval_input,2020-02-21 00:23:37,3 4,7,,,,
egrimsh1,SumBetween,33,eval_input,2020-02-21 00:23:48,4 4,4,,,,
egrimsh1,SumBetween,34,eval_input,2020-02-21 00:24:58,3 4,7,,,,
egrimsh1,SumBetween,35,eval_input,2020-02-21 00:25:17,3 4,7,,,,
egrimsh1,SumBetween,36,eval_input,2020-02-21 00:25:19,2 4,9,,,,
egrimsh1,SumBetween,37,eval_input,2020-02-21 00:25:24,1 4,10,,,,
egrimsh1,SumBetween,38,eval_input,2020-02-21 00:25:26,0 4,10,,,,
egrimsh1,SumBetween,39,eval_input,2020-02-21 00:25:31,-1 4,9,,,,
egrimsh1,SumBetween,40,eval_input,2020-02-21 00:29:28,0 1,1,,,,
egrimsh1,SumBetween,41,eval_input,2020-02-21 00:29:32,0 2,3,,,,
egrimsh1,SumBetween,42,eval_input,2020-02-21 00:29:38,1 2,3,,,,
egrimsh1,SumBetween,43,eval_input,2020-02-21 00:30:12,0 10,55,,,,
egrimsh1,SumBetween,44,eval_input,2020-02-21 00:30:56,-1 9,44,,,,
egrimsh1,SumBetween,45,quiz_answer,2020-02-21 00:34:24,"2,5",14,0,14,true,
egrimsh1,SumBetween,46,quiz_answer,2020-02-21 00:35:22,"5,2",-7,1,0,false,
egrimsh1,SumBetween,47,quiz_answer,2020-02-21 00:37:33,"2,5",14,0,14,true,
egrimsh1,SumBetween,48,quiz_answer,2020-02-21 00:37:40,"5,2",0,1,0,true,
egrimsh1,SumBetween,49,quiz_answer,2020-02-21 00:38:04,"-2,3",3,2,3,true,
egrimsh1,SumParityInt,51,eval_input,2020-02-21 00:38:30,1 2 3,0,,,,
egrimsh1,SumParityInt,52,eval_input,2020-02-21 00:38:53,1 2,1,,,,
egrimsh1,SumParityInt,53,quiz_answer,2020-02-21 00:39:21,333,0,0,1,false,
egrimsh1,SumParityInt,54,quiz_answer,2020-02-21 00:39:34,333,1,0,1,true,
egrimsh1,SumParityInt,55,quiz_answer,2020-02-21 00:39:41,-8 3,1,1,1,true,
egrimsh1,SumParityInt,56,quiz_answer,2020-02-21 00:39:44,1 0 1,0,2,0,true,
egrimsh1,SumParityInt,57,final_answer,2020-02-21 00:39:45,,,,,,Even sum goes to 0. Odd sum goes to 1. 
egrimsh1,FirstIntoSecondDivisible,58,eval_input,2020-02-21 00:39:52,1 2,true,,,,
egrimsh1,FirstIntoSecondDivisible,59,eval_input,2020-02-21 00:39:54,3 5,false,,,,
egrimsh1,FirstIntoSecondDivisible,60,eval_input,2020-02-21 00:39:56,4 3,false,,,,
egrimsh1,FirstIntoSecondDivisible,61,eval_input,2020-02-21 00:40:12,3 0,true,,,,
egrimsh1,FirstIntoSecondDivisible,62,eval_input,2020-02-21 00:40:22,1 5,true,,,,
egrimsh1,FirstIntoSecondDivisible,63,eval_input,2020-02-21 00:40:27,1 9,true,,,,
egrimsh1,FirstIntoSecondDivisible,64,eval_input,2020-02-21 00:40:28,1 0,true,,,,
egrimsh1,FirstIntoSecondDivisible,65,eval_input,2020-02-21 00:40:33,1 -1,true,,,,
egrimsh1,FirstIntoSecondDivisible,66,eval_input,2020-02-21 00:42:24,0 0,true,,,,
egrimsh1,FirstIntoSecondDivisible,67,eval_input,2020-02-21 00:42:26,0 5,false,,,,
egrimsh1,FirstIntoSecondDivisible,68,eval_input,2020-02-21 00:42:28,0 3,false,,,,
egrimsh1,FirstIntoSecondDivisible,69,eval_input,2020-02-21 00:42:31,0 2,false,,,,
egrimsh1,FirstIntoSecondDivisible,70,eval_input,2020-02-21 00:42:33,0 1,false,,,,
egrimsh1,FirstIntoSecondDivisible,71,eval_input,2020-02-21 00:42:35,0 10,false,,,,
egrimsh1,FirstIntoSecondDivisible,72,eval_input,2020-02-21 00:42:37,0 101000,false,,,,
egrimsh1,FirstIntoSecondDivisible,73,quiz_answer,2020-02-21 00:43:55,"2,8",true,0,true,true,
egrimsh1,FirstIntoSecondDivisible,74,quiz_answer,2020-02-21 00:43:58,"8,2",true,1,false,false,
egrimsh1,FirstIntoSecondDivisible,75,quiz_answer,2020-02-21 00:44:27,"2,8",true,0,true,true,
egrimsh1,FirstIntoSecondDivisible,76,quiz_answer,2020-02-21 00:44:29,"8,2",false,1,false,true,
egrimsh1,FirstIntoSecondDivisible,77,quiz_answer,2020-02-21 00:45:05,"2,0",true,2,true,true,
egrimsh1,FirstIntoSecondDivisible,78,final_answer,2020-02-21 00:45:12,,,,,,If the first number is neither a factor nor a multiple of the second (no relation) it is false. Else it is true.
egrimsh1,Average,79,eval_input,2020-02-21 00:45:42,1 4 5,3.3333333333333335,,,,
egrimsh1,Average,80,eval_input,2020-02-21 00:45:50,1 4 5 6,4,,,,
egrimsh1,Average,81,eval_input,2020-02-21 00:45:54,1 4 5 6 10,5.2,,,,
egrimsh1,Average,82,eval_input,2020-02-21 00:45:57,1,1,,,,
egrimsh1,Average,83,eval_input,2020-02-21 00:46:00,-1 3 5,2.3333333333333335,,,,
egrimsh1,Average,84,eval_input,2020-02-21 00:46:02,-1 3,1,,,,
egrimsh1,Average,85,eval_input,2020-02-21 00:46:54,0 2 3,1.6666666666666667,,,,
egrimsh1,Average,86,eval_input,2020-02-21 00:46:57,0 1 5,2,,,,
egrimsh1,Average,87,eval_input,2020-02-21 00:47:01,0 1 4 5 2,2.4,,,,
egrimsh1,Average,88,quiz_answer,2020-02-21 00:47:46,1 8 24,11,0,11,true,
egrimsh1,Average,89,quiz_answer,2020-02-21 00:47:54,8 1 24,11,1,11,true,
