User ID,Answer,Usable,T,F,Parity Val,Parity Expr,Correct,Misc
ctrierwi,"Inputs added together, odd are true, even are false",NORM,SPB-TC,SPB-FC,SPB-ELEM,SPB-EO,COR,
sbknepp,"odds are true and evens are false, in the sum of what is in the brackets",NORM,SPB-TC,SPB-FC,SPB-ELEM,SPB-EO,COR,
andhell,total is odd when true,NORM,SPB-TC,,SPB-SUM,SPB-EO,COR,
2000477853,The fist and last number in the set are added to create a total. If the total is even it evaluates to false and if the total is odd it evaluates to true.,NORM,SPB-TP,SPB-FP,SPB-ELEM,SPB-EO,MCOR,SET
sujprak,Any sequence in ascending order is true. Single odd digit numbers are true. Single even digit numbers are false.,NORM,SPB-TP,SPB-FP,SPB-ELEM,SPB-EO,MCOR,
nshatkow,Enters odd digits as true and even as false,NORM,SPB-TP,SPB-FP,SPB-ELEM,SPB-EO,MCOR,
eslough,alternates true and false,NORM,,,SPB-ELEM,SPB-EO,MCOR,
srivallu,odd is true,NORM,SPB-TC,,,SPB-EO,MCOR,
nnhenson,Even is false. Odd is true.,NORM,SPB-TP,SPB-FP,,SPB-EO,MCOR,
amlindqu,"if this first number is even and the sum of the numbers is odd, the function will say true",NORM,SPB-TP,,,SPB-EO,MCOR,
namassa,if the numbers are even or odd,NORM,,,,SPB-EO,SCOR,
lwnorris,even and odd must match up,NORM,,,,SPB-EO,SCOR,
emsipes,The input must have a negative number in order to be true.,NORM,SPB-TN,,SPB-ELEM,,SCOR,
lizhix,"4,5 are true",NORM,,,,,XCOR,IO
breichar,It finds the average of a set of numbers.,NORM,,,,,XCOR,SET
tjdurkin,checks for prime numbers,NORM,,,,,XCOR,
200028423,counts upwards,NORM,,,,,XCOR,
thagerma,if they increase by same interval,NORM,,,,,XCOR,
oviers,each number is itself and then goes up by a certain amount each time,NORM,,,,,XCOR,
tacruse,"odd numbers are multiplied by a depending on how large they are in the sequence of odd numbers. 
even numbers are multiplied by two and then added to half of the original input",NONS,,,,,,
jmperlst,FALSE,NONS,,,,,,
2000351028,Must all be able to fit into eachother,NONS,,,,,,
macfein,find largest,NONS,,,,,,
bahurd,anything that isn't divisible by another integer is true,NONS,,,,,,
btesto,nothing,NONS,,,,,,
dmachay,Serves as average,NONS,,,,,,
djbleize,add one,NONS,,,,,,
rlaramie,move,NONS,,,,,,
jjandrad,1,NONS,,,,,,
chrblank@iu.edu,I don't know,IDK,,,,,,
bnschust,I have no idea,IDK,,,,,,
dixonjan,I don't know,IDK,,,,,,
asdrury,I have no idea,IDK,,,,,,
