,,Usable,1,0,Parity Val,Parity Expr,Correct,Misc
eadelacr,if I numerical order y = 0 if not y=1,NONS,,,,,,
vidhawan,I dont know,IDK,,,,,,
longrob,No idea,IDK,,,,,,
2000310231,no idea,IDK,,,,,,
mlobo,to represent the digit number in the blanket.,IDK,,,,,,
zburon,0x1=0,IDK,,,,,,
2000375187,Not sure,IDK,,,,,,NIN
aleatki,???,IDK,,,,,,
lamkat,idk,IDK,,,,,,
3287604,im not sure,IDK,,,,,,
maojwu,Still no idea.,IDK,,,,,,
esctatum,The intervals are closed,NONS,,,,,,
jocorr,0,NONS,,,,,,
loralee,The square root of the integer.,NONS,,,,,,
vpagan,6,NONS,,,,,,
vscheper,12,NONS,,,,,,UNS
fuze,division,NONS,,,,,,
mcarafio,5,NONS,,,,,,
liuyit,Minus one?,NONS,,,,,,
ddichter,representing,NONS,,,,,,
marghend,"total if even number is 0, odd is 1",NORM,SPI-1C,SPI-0C,SPI-SUM,SPI-EO,COR,
tidellis,"if numbers added up are even, output is 0; if numbers added up are odd, output is 1",NORM,SPI-1C,SPI-0C,SPI-SUM,SPI-EO,COR,
amagates,"If sum of the input is even, the output is 0, if the sum of the input is odd, the output is 1",NORM,SPI-1C,SPI-0C,SPI-SUM,SPI-EO,COR,
bpcole,"if the function has an odd number, it evaluates to 1. if the function has an even number, it evaluates to 0",NORM,SPI-1P,SPI-0P,SPI-ELEM,SPI-EO,MCOR,
sinschwa,"Looks at the first number and if it is even, returns 1, and if it is odd it returns 0.",NORM,SPI-1P,SPI-0P,SPI-ELEM,SPI-EO,MCOR,
krbuen,"If the first input is even and the second input is odd, it equals 1",NORM,SPI-1P,,SPI-ELEM,SPI-EO,MCOR,
ripander,odd means 1 even means 0,NORM,SPI-1P,SPI-0P,,SPI-EO,MCOR,
erimwood,odd numbers refer to 1 and even numbers refer to 0.,NORM,SPI-1P,SPI-0P,,SPI-EO,MCOR,
mfkone,This function outputs a 1 or a 0 based on the number of odd or even numbers in the input.,NORM,SPI-1P,SPI-0P,,SPI-EO,MCOR,
bduffett,odd numbers equal one and even numbers equal zero,NORM,SPI-1P,SPI-0P,,SPI-EO,MCOR,
aeckard,"even number of inputs is 0, odd is 1",NORM,SPI-1P,SPI-0P,,SPI-EO,MCOR,
goldrsto,"I am confusion, but from what I've gathered, the function multiples the odd number by itself to equal 1.",NORM,SPI-1P,,,SPI-EO,MCOR,
matshish,odds and evens 1 or 0,NORM,SPI-1P,SPI-0P,,,MCOR,
jasgodur,every number that is a factor of 3 gives a response of 1,NORM,SPI-1P,,,,MCOR,
calbray,odd numbers,NORM,,,,SPI-EO,MCOR,
taylbrod,"output=1 if 1 is in list, output=0 if 1 isn't in list",NORM,SPI-1N,SPI-0N,,,SCOR,
gsuico,"If the function ends in an odd number, the output is 1.",NORM,SPI-1P,,SPI-ELEM,SPI-EO,SCOR,
allenak,If the list starts and ends with the same type of number (odd or even) it evaluates to 1.,NORM,SPI-1P,,,SPI-EO,SCOR,
Jonesham,"if the addition is odd, false",NORM,,SPI-0N,SPI-SUM,SPI-EO,SCOR,
cjlatty,adds the integers up,NORM,,,,,SCOR,
ryjlane,The function finds the sum,NORM,,,,,SCOR,
jsarria,The number with least value,NORM,,,,,XCOR,
elsaren,largest number of digits minus least,NORM,,,,,XCOR,
pputzbac,7,,,,,,,
