fcnname,userid,finalguess
Average,ysayin,It outputs the average of the inputs
Average,ojohnso3,average of set (mean)
Average,sduraide,Sum of numbers/length of list
Average,tnguye99,This function starts with one number and then evaluates to that number and then it increments by or decrement by the new number - the previous divided by the size of the list
Average,nrshaida,"It is the number that when the sum of the list is divided by it, it returns the last number in the list. "
Average,kreyes7,The output is the average of all the numbers in the list.
Average,pdam,finds averages of inputs
Average,rgupta33,mean
Average,mabouela,"Gets the median of the list of values from 0 to the first int and so forth
"
Average,mgans,Average of the integers in the list
Average,cander23,average
Average,jzhang30,"LOL I can't do math, it's the mean of the list. (Hopefully you guys keep track of my previous responses)."
Average,kfeinbe1,mean of the set of numbers
Average,nnguye20,The sum of the integers divided by length of the list.
Average,dtoth1,"computes mean of input list
"
Average,jbernar3,Sum of the elements divided by the amount of elements in the list.
Average,elevin3,return average of all the numbers in the list
Average,jtarlows,returns the average 
Average,nparekh1,The function sums the numbers in the list and returns the result of the sum divided by the number of items in the list
Average,,The returned value is the average of all the elements in the list.
Average,xzhan180,averages the list
Average,ncousin2,Average
Average,kazhar,sum of input integers divided by number of input integers
Average,gwarre,Sum of elements divided by the number of elements
FirstIntoSecondDivisible,jbernar3,The first input must be able to divide into the second without remainder.
FirstIntoSecondDivisible,cander23,"let first input = x. let second input = y.
return true if ((y modulo |x| = 0) OR (x and y = 0).
else return false"
FirstIntoSecondDivisible,mtu7,"This function prints out true if the second input is a multiple of the first input, otherwise it prints false."
FirstIntoSecondDivisible,jzhang30,"if( input2 == 0) return true;
if( input2 % input1  == 0) return true;
else return false;"
FirstIntoSecondDivisible,nnguye20,"If the first integer is 0, return False. Else, return TRUE if the second integer % the first integer == 0, FALSE otherwise."
FirstIntoSecondDivisible,mtavukcu,"If the first input is smaller than the second and is not a prime number, return true"
FirstIntoSecondDivisible,jnieto,the second number must be a multiple of the first
FirstIntoSecondDivisible,jgong15,False if number 1>2; True otherwise
FirstIntoSecondDivisible,bsilverm,"If second value is a multiple of the first it outputs true, else false"
FirstIntoSecondDivisible,nkeirste,"Returns true if the second number is divisible by the first number, false if not."
FirstIntoSecondDivisible,nrshaida,If their difference is even it is true and if their difference is odd it is false.
FirstIntoSecondDivisible,ysayin,"It looks whether the first number can divide the second one in an integer division.
"
FirstIntoSecondDivisible,nahmed12,"if the second number is divisible by the first, it will return true"
FirstIntoSecondDivisible,jtarlows,2nd number is a multiple of the first
FirstIntoSecondDivisible,sduraide,If the second number is divisible by the first number
FirstIntoSecondDivisible,dtoth1,returns true iff there exists some k such that i1 * k == i2
FirstIntoSecondDivisible,lgamalel,"returns true is the second number is divisible by the first, false otherwise"
FirstIntoSecondDivisible,pdam,input2 twice +/- input1 or input2=0
FirstIntoSecondDivisible,dkhullar,"if num2 is divisible by num1, then it returns true"
FirstIntoSecondDivisible,kreyes7,"Let x be the first input and y be the second input.
The function outputs true if y/x is an integer and false if it isn't."
FirstIntoSecondDivisible,mmo4,"evalulate true given first number is smaller than second, and their gcd is not 1"
FirstIntoSecondDivisible,msiff,It returns true if the first number divides evenly into the second number and false otherwise.
FirstIntoSecondDivisible,mmeyerso,True if the second number can be evenly divided by the first
FirstIntoSecondDivisible,sboughan,Sees if the two numbers are multiples of each other (either negative or positive multiple)
FirstIntoSecondDivisible,wbuerger,"true if the second number is divisible by the first number, false otherwise"
FirstIntoSecondDivisible,sgupta46,"It returns true if the first number is a factor of the second number (or if the second number is a multiple of the first number), and false otherwise."
FirstIntoSecondDivisible,mgans,TRUE if x2 is a multiple of x1
FirstIntoSecondDivisible,mabouela,true if divisble by second number
Induced,nnguye20,The closest odd integer less than or equal to INTEGER multiplied by INTEGER / 2 (rounded towards zero)
Induced,mgans,(n(n-1))/2
Induced,mlunghi,"If a number is even, the next even number evaluates to the previous even number value plus 5. If a number is odd, that even number evaluates to that number times its index (i.e. 1 is at index 0, 3 is at index 1, etc.)"
Induced,rgupta33,"0 --> 0.
For integer k > 0, f(k) = f(k-1) + (k-1)
For integer k < 0, f(k) = f(k+1) + |k|"
Induced,msiff,This is like the pascal triangle thing in a way. So all the answers build on each other. 1 is 0 and 2 is 0+1 and 3 is 2+1 and 4 is 3+3. So every number has an output equal to the previous number plus its output.
Induced,mabouela,"multiplies number by 0,0.5,1,1.5,2,2.5 qnd so forth"
Induced,cander23,(     ((n-1)^2) + (n-1)     ) / 2
Induced,spate116,(n-1)st triangular number
Induced,elevin3,adds all positive integers smaller than input integer n
Induced,vkalev,It keeps summing up from the previous index
Induced,sboughan,"Still the same as my previous guess, I just made an arithmetic mistake:

f(y) = f(y - 1) + y"
Induced,jnieto,the sum of all numbers before it up to 0
Induced,nrshaida,returns the addition of the input and output result of the input-1. 
Induced,mtu7,"This function is the sum of all numbers from 0 to the input (not inclusive). If the input is negative, the function is the sum of all numbers from 0 to the absolute value of the input (not inclusive)."
Induced,sduraide,sum of numbers upto it
Induced,pdam,"if positive, sums all integers from 0 up to the input. if negative, sums all absolute values of integers from 0 up to an including the input"
Induced,ojohnso3,"if input is positive, the integer produced is the output of the (input-1) + input

negative version is similar, except output is the same as |input| + 1

NOTE: not the best description of the function, more of the patterns"
Induced,qhan3,"It is the quadratic equation y=0.5(x^2)-0.5x
Based on the data points I found, I realized there was a quadratic relationship so I then used a calculator to perform quadratic regression to get the exact formula.  "
Induced,jgong15,This function adds sequence number n-i to f(n-i)
Induced,scho31,(x^2 - x) / 2
Induced,mtavukcu,"For integer i, foo(i) = (i-1) + foo(i-1)."
Induced,mmakhlou,"at step 0, we add 1 to the given number. AT step 2, we add 2 to the given number and so on."
Induced,gwarre,f(n) = f(n-1)+(n-1)
Induced,ysayin,Does some sort of geometric sequence?
Induced,a,w
Induced,ncousin2,x * (x-1) /2
Induced,cchrabas,Add's input minus one to the consecutively previous integer's input
Induced,xzhan180,"If the input is positive, then return the (n-1)th triangular number;
if the input is not positive, then return the abs(n)th triangular number"
Induced,nparekh1,the function returns the output as follows: input - 1 + output of(input-1)
Induced,sddd,x(x-1)/2
Induced,dkhullar,This function gives the same answer for -x and x+1
Induced,jtarlows,"If even, divide the input by half and multiply input by this half and then subtract the half from the result. If odd, only multiply by half of the input (rounding down)"
Induced,jidehen,Let input = n. Function calculates n(n-1)/2
Induced,jbernar3,(1/2)(x)(x-1)
Induced,sli96,"Given a positive integer n, calculates the sum of 0, 1, ..., n-2, n-1. Given a negative integer n, calculates the sum of 0, 1, ..., -n-1, -n."
Induced,dtoth1,"Computes the triangular number of the input integer, aka n(n-1)/2"
Induced,nahmed12,"It will sum up the numbers up to that number. If it is negative, it will negate it and sum including that number
"
Induced,kfeinbe1,nth triangular number
Induced,mghani1,return the absolute values of the sum of all the numbers from 0 to the input
Induced,chorvitz,for each number after 3 the difference between f(x+1) and f(x) is x
Induced,nkeirste,It returns the sum of the past output and the past input (or something like that)
Induced,yyang149,a*a/2 - a/2
Induced,jzhang30,"result = 0; 
for( i=0; i<=absoluteValue(input); i++) { result += i;}
return result - input;"
Induced,ading6,= x * (x-1)*0.5
Induced,rfuller1,like ! but for addition and excluding the current integer
Induced,sgupta46,"If the number n entered is positive, the output is the sum of all numbers from 0 to (n - 1). If the number n entered is negative, the output is the sum of all numbers from 0 to |n|"
Induced,akim112,It's the sum of previous integer + previous evaluation
Induced,wbuerger,"n-1th triangular number
"
Induced,mmo4,"mod
"
Induced,kreyes7,"Let x be the input of this function.
If x >= 0, the output is (x - 1) + (x - 2) + ... + 0
If x < 0, the output is abs(x) + abs(x + 1) + ... + 0
"
Induced,tnguye99,fibonacci sequence - based on the previous numbers evaluate to
Induced,bsilverm,"First subtract 1 from the input only if the number is even, keep the number if it is odd, then multiply this by the number divided by 2"
Induced,jgraves1,"If positive n, sum numbers 1 to n-1
If negative n, sum numbers 1 to -n
If 0, 0"
Induced,sbawabe,returns sum of all positive numbers before number inputted
Induced,qwei3,some absolute value + exponential
Induced,mmeyerso,Going in the positive direction you add to the previous direction n-1. Going in the negative direction you add negative(n) to the previous value.
Induced,hpham2,Sum of all the positive numbers up to the number one less than the input number
Induced,jadkl,"x = + is x-1 + x-2 ...+0
x=-  is abs (x+x+1+x+2+0)"
Induced,,"For every number k, where k is an odd number, the result is k * n where n is the result of dividing k by 2 and subtracting 0.5. For k + 1, the result is k + 1 * n + 1."
Median,grizk,"This function gets the median of the inputs. If it is an odd number of items, it will sort the list and get the median value. If it is an even number, it will sort the list, and get the average of the two median values."
Median,sboughan,"Returns the average of all the numbers: sums them up, divides by length"
Median,mtavukcu,Sum of inputs / number of inputs in array
Median,bsilverm,It' s the median
Median,chorvitz,Median
Median,rfuller1,"it gets the median, or the average of the two in the middle if there is an even number of elements"
Median,nkeirste,"The median of the list of integers, sorted from smallest to largest."
Median,qhan3,Finds the median (taking the arithmetic mean of the two median values for even datasets) 
Median,ading6,Takes each non zero number and multiplies it by 1/cardinality of the number. Then it sums it.
Median,hpham2,Median of all the numbers in the list
Median,mmakhlou,"returns the number in the middle of the list
"
Median,sddd,j
Median,ojohnso3,Returns the median of the set (middle number if odd and sum of middle two numbers / 2 if even)
Median,mlunghi,Finds the midpoint
Median,vkalev,"If the number of elements is odd, the median element is returned. If the number of elements is even, the mean of the middle two elements is returned."
Median,dkhullar,gives the median of the numbers
Median,sbawabe,median of sorted list
Median,mtu7,"If the number of numbers in the list is odd, then it is the median. If the number of numbers in the list is even, I'm not sure."
Median,scho31,Evaluates the median
Median,jadkl,average
Median,jidehen,calculates the median of the input
Median,jgong15,The median
Median,cchrabas,Outputs the median of the input list.
Median,sli96,"calculates median
"
Median,msiff,"With an odd number of elements in the list, it returns the median of the sorted list. With an even number of elements, it just returns the average of the two middle numbers."
Median,qwei3,median
Median,mmo4,Finds the median of the given list
