userid,fcnname,actionid,actiontype,time,input,output,quizq,actualoutput,result,finalguess,
tdelvecc,IsDag,0,eval_input,2020-04-03 14:59:28,"inst myInst {
  Node = none
  edges = none
  }",true,,,,,
tdelvecc,IsDag,1,eval_input,2020-04-03 14:59:33,"inst myInst {
  Node = A
  edges = none
  }",true,,,,,
tdelvecc,IsDag,2,eval_input,2020-04-03 14:59:39,"inst myInst {
  Node = A + B
  edges = none
  }",true,,,,,
tdelvecc,IsDag,3,eval_input,2020-04-03 14:59:46,"inst myInst {
  Node = A + B + C
  edges = none
  }",true,,,,,
tdelvecc,IsDag,4,eval_input,2020-04-03 14:59:58,"inst myInst {
  Node = A + B + C
  edges = A->A
  }",false,,,,,
tdelvecc,IsDag,5,eval_input,2020-04-03 15:00:03,"inst myInst {
  Node = A + B + C
  edges = A->B
  }",true,,,,,
tdelvecc,IsDag,6,eval_input,2020-04-03 15:00:10,"inst myInst {
  Node = A + B + C
  edges = A->B + B->A
  }",false,,,,,
tdelvecc,IsDag,7,eval_input,2020-04-03 15:00:14,"inst myInst {
  Node = A + B + C
  edges = A->B + B->C
  }",true,,,,,
tdelvecc,IsDag,8,eval_input,2020-04-03 15:00:20,"inst myInst {
  Node = A + B + C
  edges = A->B + B->C + C->A
  }",false,,,,,
tdelvecc,IsDag,9,eval_input,2020-04-03 15:00:34,"inst myInst {
  Node = A + B + C + D
  edges = A->B + B->C + B->A
  }",false,,,,,
tdelvecc,IsDag,10,eval_input,2020-04-03 15:01:05,"inst myInst {
  Node = A + B + C + D
  edges = A->B + B->C + C->D + A->D
  }",true,,,,,
tdelvecc,IsDag,11,eval_input,2020-04-03 15:01:12,"inst myInst {
  Node = A + B + C + D
  edges = A->B + B->C + C->D + A->D + B->D
  }",true,,,,,
tdelvecc,IsDag,12,eval_input,2020-04-03 15:01:20,"inst myInst {
  Node = A + B + C + D
  edges = A->B + B->C + C->D + A->D + B->D + A->C
  }",true,,,,,
tdelvecc,IsDag,13,eval_input,2020-04-03 15:01:26,"inst myInst {
  Node = A + B + C + D
  edges = A->B + B->C + C->D + A->D + B->D + A->C + C->C
  }",false,,,,,
tdelvecc,IsDag,14,quiz_answer,2020-04-03 15:01:54,"inst myInst {
      Node = A 
      edges = A->A
    }",false,0,false,true,,
tdelvecc,IsDag,15,quiz_answer,2020-04-03 15:01:58,"inst myInst {
      Node = A
      edges = none
    }",true,1,true,true,,
tdelvecc,IsDag,16,quiz_answer,2020-04-03 15:02:02,"inst myInst {
      Node = A + B
      edges = A->B + B->A
    }",false,2,false,true,,
tdelvecc,IsDag,17,quiz_answer,2020-04-03 15:02:09,"inst myInst {
      Node = A + B + C
      edges = A->B + A->C + B->C
    }",true,3,true,true,,
tdelvecc,IsDag,18,quiz_answer,2020-04-03 15:02:14,"inst myInst {
      Node = A + B + C
      edges = A->B + B->C + C->A
    }",false,4,false,true,,
tdelvecc,IsDag,19,quiz_answer,2020-04-03 15:02:23,"inst myInst {
      Node = A + B + C
      edges = A->B + C->B
    }",true,5,true,true,,
tdelvecc,IsDag,20,quiz_answer,2020-04-03 15:02:27,"inst myInst {
      Node = A + B + C + D
      edges = A->B + B->C + C->D + D->A
    }",false,6,false,true,,
tdelvecc,IsDag,21,quiz_answer,2020-04-03 15:02:33,"inst myInst {
      Node = A + B + C + D + E
      edges = A->B + B->C + C->D + D->E + E->A
    }",false,7,false,true,,
tdelvecc,IsDag,22,final_answer,2020-04-03 15:02:35,,,,,,The predicate checks whether the given graph is acyclic.,
